LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;COLUMN;ROW
;;7;86;0,0342;4;;id2458color86.jpg;;U;P;2458;;;1,09;;;Brick, Modified;Brick;Modified;P;;Light Bluish Gray;#AFB5C7;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Pin;?;?;?;Casier Petit Gris;A;4;
;;22;5;0,1462;1;;id3315color5.jpg;;U;P;3315;;;1,64;;;Hinge;Hinge;;P;;Red;#B30006;Solid;;;;;;;;;;;;;;Part;Hinge Plate 2 x 4 - Male (Digger Bucket Holder);?;?;?;Casier Petit Gris;A;5;
;;22;11;0,2273;1;;id3315color11.jpg;;U;P;3315;;;1,64;;;Hinge;Hinge;;P;;Black;#212121;Solid;;;;;;;;;;;;;;Part;Hinge Plate 2 x 4 - Male (Digger Bucket Holder);?;?;?;Casier Petit Gris;A;5;
;;22;11;0,2468;1;;id3597color11.jpg;;U;P;3597;;;1,4;;;Hinge;Hinge;;P;;Black;#212121;Solid;;;;;;;;;;;;;;Part;Hinge Plate 2 x 4 - Female (Digger Bucket Holder);?;?;?;Casier Petit Gris;A;5;
;;22;11;0,1333;1;;id3639color11.jpg;;U;P;3639;;;1,77;;;Hinge;Hinge;;P;;Black;#212121;Solid;;;;;;;;;;;;;;Part;Hinge Plate 2 x 4 with Articulated Joint - Male;?;?;?;Casier Petit Gris;A;5;
;;22;85;0,063;2;;id3639color85.jpg;;U;P;3639;;;1,77;;;Hinge;Hinge;;P;;Dark Bluish Gray;#595D60;Solid;;;;;;;;;;;;;;Part;Hinge Plate 2 x 4 with Articulated Joint - Male;?;?;?;Casier Petit Gris;A;5;
;;22;5;0,2304;1;;id3640color5.jpg;;U;P;3640;;;2,12;;;Hinge;Hinge;;P;;Red;#B30006;Solid;;;;;;;;;;;;;;Part;Hinge Plate 2 x 4 with Articulated Joint - Female;?;?;?;Casier Petit Gris;A;5;
;;22;9;0,194;1;;id3640color9.jpg;;U;P;3640;;;2,12;;;Hinge;Hinge;;P;;Light Gray;#9C9C9C;Solid;;;;;;;;;;;;;;Part;Hinge Plate 2 x 4 with Articulated Joint - Female;?;?;?;Casier Petit Gris;A;5;
;;22;11;0,1286;1;;id3640color11.jpg;;U;P;3640;;;2,12;;;Hinge;Hinge;;P;;Black;#212121;Solid;;;;;;;;;;;;;;Part;Hinge Plate 2 x 4 with Articulated Joint - Female;?;?;?;Casier Petit Gris;A;5;
;;22;85;0,0612;2;;id3640color85.jpg;;U;P;3640;;;2,12;;;Hinge;Hinge;;P;;Dark Bluish Gray;#595D60;Solid;;;;;;;;;;;;;;Part;Hinge Plate 2 x 4 with Articulated Joint - Female;?;?;?;Casier Petit Gris;A;5;
