LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;COLUMN;ROW
;;135;3;2,8891;3;1;id32555color3.jpg;;U;P;32555;;Y;3,35;;EUR;Technic, Brick;Technic;Brick;;;Yellow;##FFE001;Solid;;;;;;;;;;;;;;Part;Technic, Brick 5 x 5 Right Angle (1 x 4 - 1 x 4);5;5;1;TriTiroir VioletFoncé;A;1
;;135;11;0,1299;14;1;id3702color11.jpg;;U;P;3702;;Y;2,85;;EUR;Technic, Brick;Technic;Brick;;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 8 with Holes;1;8;1;TriTiroir VioletFoncé;A;1
;;135;3;0,1367;3;1;id3702color3.jpg;;U;P;3702;;Y;2,85;;EUR;Technic, Brick;Technic;Brick;;;Yellow;##FFE001;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 8 with Holes;1;8;1;TriTiroir VioletFoncé;A;1
;;135;5;0,1063;16;1;id3702color5.jpg;;U;P;3702;;Y;2,85;;EUR;Technic, Brick;Technic;Brick;;;Red;##B30006;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 8 with Holes;1;8;1;TriTiroir VioletFoncé;A;1
;;135;7;0,1675;11;1;Not Available;;U;P;3702;;Y;2,85;;EUR;Technic, Brick;Technic;Brick;;;Blue;##0057A6;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 8 with Holes;1;8;1;TriTiroir VioletFoncé;A;1
;;135;86;0,1898;2;1;id3702color86.jpg;;U;P;3702;;Y;2,85;;EUR;Technic, Brick;Technic;Brick;;;Light Bluish Gray;##AFB5C7;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 8 with Holes;1;8;1;TriTiroir VioletFoncé;A;1
;;135;3;0,8157;3;1;id3703color3.jpg;;U;P;3703;;Y;5,87;;EUR;Technic, Brick;Technic;Brick;;;Yellow;##FFE001;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 16 with Holes;1;16;1;TriTiroir VioletFoncé;A;1
;;135;5;0,6697;2;1;id3703color5.jpg;;U;P;3703;;Y;5,87;;EUR;Technic, Brick;Technic;Brick;;;Red;##B30006;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 16 with Holes;1;16;1;TriTiroir VioletFoncé;A;1
;;135;7;0,6375;5;1;id3703color7.jpg;;U;P;3703;;Y;5,87;;EUR;Technic, Brick;Technic;Brick;;;Blue;##0057A6;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 16 with Holes;1;16;1;TriTiroir VioletFoncé;A;1
;;135;85;0,9692;3;1;id3703color85.jpg;;U;P;3703;;Y;5,87;;EUR;Technic, Brick;Technic;Brick;;;Dark Bluish Gray;##595D60;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 16 with Holes;1;16;1;TriTiroir VioletFoncé;A;1
;;140;1;0,0523;5;1;id3709bcolor1.jpg;;U;P;3709b;;Y;1,15;;EUR;Technic, Plate;Technic;Plate;;;White;##FFFFFF;Solid;;;;;;;;;;;;;;Part;Technic, Plate 2 x 4 with 3 Holes;2;4;0;TriTiroir VioletFoncé;A;1
;;140;11;0,0526;6;1;id3709bcolor11.jpg;;U;P;3709b;;Y;1,15;;EUR;Technic, Plate;Technic;Plate;;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Technic, Plate 2 x 4 with 3 Holes;2;4;0;TriTiroir VioletFoncé;A;1
;;140;3;0,0528;4;1;id3709bcolor3.jpg;;U;P;3709b;;Y;1,15;;EUR;Technic, Plate;Technic;Plate;;;Yellow;##FFE001;Solid;;;;;;;;;;;;;;Part;Technic, Plate 2 x 4 with 3 Holes;2;4;0;TriTiroir VioletFoncé;A;1
;;140;5;0,0495;16;1;id3709bcolor5.jpg;;U;P;3709b;;Y;1,15;;EUR;Technic, Plate;Technic;Plate;;;Red;##B30006;Solid;;;;;;;;;;;;;;Part;Technic, Plate 2 x 4 with 3 Holes;2;4;0;TriTiroir VioletFoncé;A;1
;;140;7;0,058;6;1;id3709bcolor7.jpg;;U;P;3709b;;Y;1,15;;EUR;Technic, Plate;Technic;Plate;;;Blue;##0057A6;Solid;;;;;;;;;;;;;;Part;Technic, Plate 2 x 4 with 3 Holes;2;4;0;TriTiroir VioletFoncé;A;1
;;140;85;0,0463;4;1;id3709bcolor85.jpg;;U;P;3709b;;Y;1,15;;EUR;Technic, Plate;Technic;Plate;;;Dark Bluish Gray;##595D60;Solid;;;;;;;;;;;;;;Part;Technic, Plate 2 x 4 with 3 Holes;2;4;0;TriTiroir VioletFoncé;A;1
