LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;749;85;0,0837;1;;id90608color85.jpg;;U;P;90608;;;2,3;;;Hero Factory;Hero Factory;;P;;Dark Bluish Gray;##595D60;Solid;;;;;;;;;;;;;;Part;Hero Factory Arm / Leg with Ball Joint on Axle and Ball Socket and Pin Hole;2;6;1;Grand Casier BleueuClair;B;3;
;;749;11;0,0675;2;;id90609color11.jpg;;U;P;90609;;;2;;;Hero Factory;Hero Factory;;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Hero Factory Arm / Leg with Ball Joint on Axle and Ball Socket;2;5.5;1;Grand Casier BleueuClair;B;3;
;;749;5;0,0930;1;;id90617color5.jpg;;U;P;90617;;;2,3;;;Hero Factory;Hero Factory;;P;;Red;##B30006;Solid;;;;;;;;;;;;;;Part;Hero Factory Arm / Leg with Ball Joint and Ball Socket;?;?;?;Grand Casier BleueuClair;B;3;
;;749;85;0,0521;4;;id90617color85.jpg;;U;P;90617;;;2,3;;;Hero Factory;Hero Factory;;P;;Dark Bluish Gray;##595D60;Solid;;;;;;;;;;;;;;Part;Hero Factory Arm / Leg with Ball Joint and Ball Socket;?;?;?;Grand Casier BleueuClair;B;3;
;;133;11;0,2389;1;;id90634color11.jpg;;U;P;90634;;;2,9;;;Technic, Connector;Technic;Connector;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Technic, Pin Connector Perpendicular 3L with 2 Pins, 2 Ball Joint on Axle;3;5.5;3.5;Grand Casier BleueuClair;B;3;
;;22;11;0,0612;2;;id57906color11.jpg;;U;P;57906;;;3;;;Hinge;Hinge;;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Hinge Plate 3 x 12 with Angled Side Extensions and Tapered Ends;3;12;1;Grand Casier BleueuClair;B;4;
;;22;95;0,1745;1;;id57906color95.jpg;;U;P;57906;;;3;;;Hinge;Hinge;;P;;Flat Silver;##8D949C;Pearl;;;;;;;;;;;;;;Part;Hinge Plate 3 x 12 with Angled Side Extensions and Tapered Ends;3;12;1;Grand Casier BleueuClair;B;4;
;;83;95;0,1660;3;;id57906pb011Lcolor95.jpg;;U;P;57906pb011L;;;3;;;Hinge, Decorated;Hinge;Decorated;P;;Flat Silver;##8D949C;Pearl;;;;;;;;;;;;;;Part;Hinge Plate 3 x 12 with Angled Side Extensions and Tapered Ends with Ice and Asian Characters Pattern Model Left Side (Sticker) - Set 70748;3;12;1;Grand Casier BleueuClair;B;4;
;;83;95;0,1495;3;;id57906pb011Rcolor95.jpg;;U;P;57906pb011R;;;3;;;Hinge, Decorated;Hinge;Decorated;P;;Flat Silver;##8D949C;Pearl;;;;;;;;;;;;;;Part;Hinge Plate 3 x 12 with Angled Side Extensions and Tapered Ends with Ice and Asian Characters Pattern Model Right Side (Sticker) - Set 70748;3;12;1;Grand Casier BleueuClair;B;4;
;;83;63;0,0995;1;;id57906pb015color63.jpg;;U;P;57906pb015;;;3;;;Hinge, Decorated;Hinge;Decorated;P;;Dark Blue;##243757;Solid;;;;;;;;;;;;;;Part;Hinge Plate 3 x 12 with Angled Side Extensions and Tapered Ends with Lightning Pattern Type 2 (Sticker) - Set 70602;3;12;1;Grand Casier BleueuClair;B;4;
