"Lot ID","Color","Category","Condition","Sub-Condition","Description","Remarks","Price","Quantity","Bulk","Sale","URL","Item No","Tier Qty 1","Tier Price 1","Tier Qty 2","Tier Price 2","Tier Qty 3","Tier Price 3","Reserved For","Stockroom","Retain","Super Lot ID","Super Lot Qty","Weight","Extended Description","Date Added","Date Last Sold","Currency"
"278027904","Chrome Silver","Parts / Plate, Round","Used","","Chrome Silver Plate, Round 1 x 1 Petit Noir A2","","€2.65","1","1","0%","","4073","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.12","","1/5/2022","","EUR"
"278027905","Dark Bluish Gray","Parts / Plate, Round","Used","","Dark Bluish Gray Plate, Round 1 x 1 Petit Noir A2","","€2.65","59","1","0%","","4073","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.12","","1/5/2022","","EUR"
"278027906","White","Parts / Plate, Round","Used","","White Plate, Round 1 x 1 Petit Noir A2","","€2.55","44","1","0%","","4073","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.12","","1/5/2022","","EUR"
"278027907","Yellow","Parts / Plate, Round","Used","","Yellow Plate, Round 1 x 1 Petit Noir A2","","€2.55","37","1","0%","","4073","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.12","","1/5/2022","","EUR"
"278027908","Trans-Black","Parts / Plate, Round","Used","","Trans-Black Plate, Round 1 x 1 Petit Noir A2","","€2.55","1","1","0%","","4073","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.12","","1/5/2022","","EUR"
"278027909","Black","Parts / Door","Used","","Black Door 1 x 4 x 6 Etagere Grise A2","","€2.54","1","1","0%","","3644","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","3.35","","1/5/2022","","EUR"
"278027910","Light Gray","Parts / Turntable","Used","","Light Gray Turntable 2 x 2 Plate, Base Petit Gris B1","","€2.53","3","1","0%","","3680","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.4","","1/5/2022","","EUR"
"278027911","Black","Parts / Support","Used","","Black Support 6 x 6 x 10 Stanchion indigo A2","","€2.53","1","1","0%","","2681","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","9","","1/5/2022","","EUR"
"278027912","White","Parts / Brick, Modified","Used","","White Brick, Modified Facet 3 x 3 Grand Noir C2","","€2.46","2","1","0%","","2462","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","1.46","","1/5/2022","","EUR"
"278027913","Blue","Parts / Plate","Used","","Blue Plate 6 x 14 Etagere Aubergine A5","","€2.46","1","1","0%","","3456","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","11","","1/5/2022","","EUR"
"278027914","Black","Parts / Plate","Used","","Black Plate 1 x 8 Etagere Aubergine A5","","€2.46","54","1","0%","","3460","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","1.36","","1/5/2022","","EUR"
"278027915","Red","Parts / Plate","Used","","Red Plate 6 x 16 Etagere Aubergine A5","","€2.45","2","1","0%","","3027","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","13.27","","1/5/2022","","EUR"
"278027916","Tan","Parts / Brick, Decorated","Used","","Tan Brick 1 x 16 with Wings Green/Orange/Blue Pattern casier bleue clair D3","","€2.43","2","1","0%","","2465px1","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","6.54","","1/5/2022","","EUR"
"278027917","Red","Parts / Window","Used","","Red Window 4 x 4 x 6 Outward Sloping Etagere Grise A2","","€2.39","2","1","0%","","4741","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","4.07","","1/5/2022","","EUR"
"278027918","Black","Parts / Electric","Used","","Black Electric Plate 2 x 4 with Contacts Malette Noir A1","","€2.38","2","1","0%","","4757","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","1.94","","1/5/2022","","EUR"
"278027919","Black","Parts / Support","Used","","Black Support 6 x 6 x 10 Stanchion Petit Jaune A1","","€2.34","1","1","0%","","2681","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","9","","1/5/2022","","EUR"
"278027920","Yellow","Parts / Slope","Used","","Yellow Slope 53 3 x 1 x 3 1/3 with Studs on Slope casier bleue clair F2","","€2.33","1","1","0%","","6044","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","1.71","","1/5/2022","","EUR"
"278027921","Trans-Light Blue","Parts / Windscreen","Used","","Trans-Light Blue Windscreen 5 x 8 x 3 black box A1","","€2.32","1","1","0%","","2826","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","7","","1/5/2022","","EUR"
"278027922","Trans-Yellow","Parts / Panel","Used","","Trans-Yellow Panel 1 x 2 x 3 - Solid Studs Grand Noir G5","","€2.30","1","1","0%","","2362a","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","1.3","","1/5/2022","","EUR"
"278027923","Trans-Dark Blue","Parts / Panel","Used","","Trans-Dark Blue Panel 6 x 6 x 9 Corner Convex with Curved Top black box A1","","€2.30","2","1","0%","","6002","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","15.6","","1/5/2022","","EUR"
"278027924","Black","Parts / Panel, Decorated","Used","","Black Panel 3 x 3 x 6 Corner Wall with Scattered Stones Light Gray Pattern Etagere Grise C2","","€2.29","3","1","0%","","2345pb06","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","4.95","","1/5/2022","","EUR"
"278027925","Black","Parts / Plate","Used","","Black Plate 1 x 1 Petit Noir D3","","€2.29","49","1","0%","","3024","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.2","","1/5/2022","","EUR"
"278027926","Dark Bluish Gray","Parts / Support","Used","","Dark Bluish Gray Support 2 x 2 x 10 Girder Triangular Vertical - Type 1 - Solid Top, 3 Posts Bleue A1","","€2.28","1","1","0%","","30517","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","6.79","","1/5/2022","","EUR"
"278027927","Black","Parts / String Reel / Winch","Used","","Black String Reel Winch 2 x 4 x 2 &#40;Light Gray Drum&#41; Malette Noir A1","","€2.28","1","1","0%","","73037","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","5.16","","1/5/2022","","EUR"
"278027928","White","Parts / Cone","Used","","White Cone 4 x 4 x 3 casier bleue clair I4","","€2.27","1","1","0%","","272","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","4","","1/5/2022","","EUR"
"278027929","Light Gray","Parts / Plate","Used","","Light Gray Plate 6 x 16 Etagere Indigo A5","","€2.26","3","1","0%","","3027","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","13.27","","1/5/2022","","EUR"
"278027930","Blue","Parts / Brick, Decorated","Used","","Blue Brick 1 x 2 with Classic Space Logo Pattern casier bleue clair E2","","€2.25","2","1","0%","","3004p90","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.83","","1/5/2022","","EUR"
"278027931","Dark Gray","Parts / Stairs","Used","","Dark Gray Stairs 4 x 7 x 9 1/3 Straight Enclosed indigo A2","","€2.24","1","1","0%","","4784","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","12","","1/5/2022","","EUR"
"278027932","Black","Parts / Slope","Used","","Black Slope 53 3 x 1 x 3 1/3 with Studs on Slope casier bleue clair F2","","€2.23","16","1","0%","","6044","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","1.71","","1/5/2022","","EUR"
"278027933","Light Violet","Parts / Brick, Round","Used","","Light Violet Brick, Round Corner 16 x 16 Etagere Grise A1","","€2.20","1","1","0%","","33230","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","51.25","","1/5/2022","","EUR"
"278027934","Light Gray","Parts / Tail","Used","","Light Gray Tail 4 x 2 x 2 Grand Noir A3","","€2.20","1","1","0%","","3479","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","1.19","","1/5/2022","","EUR"
"278027935","Black","Parts / String & Net","Used","","Black String with End Studs 31L Overall &#40;23.4 cm&#41; casier bleue clair H2","","€2.13","4","1","0%","","x127c31","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.64","","1/5/2022","","EUR"
"278027936","Trans-Clear","Parts / Window, Glass & Shutter","Used","","Trans-Clear Glass for Window 4 x 4 x 3 Roof Grand Gris B5","","€2.12","10","1","0%","","4448","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","2.2","","1/5/2022","","EUR"
"278027937","Trans-Green","Parts / Panel","Used","","Trans-Green Panel 1 x 4 x 3 - Solid Studs Etagere Indigo C1","","€2.11","1","1","0%","","4215a","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","2.33","","1/5/2022","","EUR"
"278027938","White","Parts / Hinge","Used","","White Hinge Plate 1 x 2 with 3 Fingers &#40;Undetermined Type&#41; Grand Gris A2","","€2.10","13","1","0%","","4275","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.43","","1/5/2022","","EUR"
"278027939","Light Gray","Parts / Technic, Connector","Used","","Light Gray Technic, Pin Connector Round 2L without Slot &#40;Pin Joiner Round&#41; Orange 1 C6","","€2.09","7","1","0%","","75535","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.38","","1/5/2022","","EUR"
"278027940","Black","Parts / Slope, Decorated","Used","","Black Slope 45 2 x 2 with 12 Buttons and 3 Red Lamps on Yellow Background Pattern casier bleue clair C3","","€2.09","2","1","0%","","3039p33","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","1.15","","1/5/2022","","EUR"
"278027941","Red","Parts / Door","Used","","Red Door 1 x 3 x 4 Right Grand Gris B3","","€2.06","1","1","0%","","446","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","2.3","","1/5/2022","","EUR"
"278027942","Orange","Parts / Technic, Liftarm","Used","","Orange Technic, Liftarm Thick 1 x 11 Etagere Indigo C6","","€2.06","2","1","0%","","32525","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","2.8","","1/5/2022","","EUR"
"278027943","Black","Parts / Plate, Modified","Used","","Black Plate, Modified 6 x 6 Octagonal with Open Center and 4 Clips &#40;Horizontal Grip&#41; indigo A2","","€2.04","2","1","0%","","2539","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","3.5","","1/5/2022","","EUR"
"278027944","Tan","Parts / Hinge","Used","","Tan Hinge Brick 1 x 2 Top Plate Grand Noir I2","","€2.03","1","1","0%","","3938","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.34","","1/5/2022","","EUR"
"278027945","Lime","Parts / Tile, Modified","Used","","Lime Tile, Modified 1 x 1 with Clip Petit Noir A5","","€2.02","2","1","0%","","2555","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.22","","1/5/2022","","EUR"
