LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;COLUMN;ROW
;;;9;0,00;1;;Not Available;;U;P;41854;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;1;0,00;1;;Not Available;;U;P;44674;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;103;0,00;1;;Not Available;;U;P;44674;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;11;0,00;1;;Not Available;;U;P;44674;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;11;0,00;1;;Not Available;;U;P;44674;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;110;0,00;1;;Not Available;;U;P;44674;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;110;0,00;1;;Not Available;;U;P;44674;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;115;0,00;1;;Not Available;;U;P;44674;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;120;0,00;1;;Not Available;;U;P;44674;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;152;0,00;1;;Not Available;;U;P;44674;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;152;0,00;1;;Not Available;;U;P;44674;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;153;0,00;1;;Not Available;;U;P;44674;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;236;0,00;1;;Not Available;;U;P;44674;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;3;0,00;1;;Not Available;;U;P;44674;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;3;0,00;1;;Not Available;;U;P;44674;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;3;0,00;1;;Not Available;;U;P;44674;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
